The karyotype in /Users/elvisa/Desktop/Example_Data/WTC-11_Sample/WTC-11.bed.gz is: 46XY

chrom	start	stop	name	WTC_mean	
chr1	143327630	143345131	LOC105371175	0.431545
chr1	143382481	143424719	LOC107985200	1.1699185
chr1	143406311	143419703	LOC107985201	1.1699185
chr1	143499282	143500828	LINC02799	1.124973
chr1	143792494	143797108	LINC02591	1.060594
chr1	144148426	144152389	LOC105371207	1.158292
chr1	144153167	144170705	LOC105371206	1.158292
chr1	144218356	144250297	LINC02802	1.158292
chr1	144274533	144276762	LOC101060524	1.158292
chr1	144324089	144343340	CH17-125A10.2	1.158292
chr1	144324767	144326315	LOC105371196	1.158292
chr1	144372874	144373634	PPIAL4E	1.158292
chr1	146151907	146229032	NOTCH2NLA	1.17134675
chr1	146229075	146237801	LOC105371254	0.665455
chr1	146297772	146301610	NUDT4P2	0.665455
chr1	196774839	196795407	CFHR3	0.8531358
chr1	196819730	196832189	CFHR1	1.05465485714286
chr1	228610265	228610386	RNA5S1	4.305855
chr1	228612506	228612627	RNA5S2	4.305855
chr1	228614747	228614868	RNA5S3	4.305855
chr1	228616988	228617109	RNA5S4	4.305855
chr1	228619229	228619350	RNA5S5	4.305855
chr1	228621444	228621565	RNA5S6	4.305855
chr1	228623664	228623785	RNA5S7	4.305855
chr1	228625906	228626027	RNA5S8	4.305855
chr1	228628145	228628266	RNA5S9	4.305855
chr1	228630387	228630508	RNA5S10	4.305855
chr1	228632628	228632749	RNA5S11	4.305855
chr1	228634868	228634989	RNA5S12	4.305855
chr1	228637093	228637214	RNA5S13	4.305855
chr1	228639334	228639455	RNA5S14	4.305855
chr1	228641565	228641686	RNA5S15	4.305855
chr1	228643806	228643927	RNA5S16	4.305855
chr1	228646037	228646158	RNA5S17	4.305855
chr1	248636355	248645278	OR2T35	0.594815
chr1	248649837	248655528	OR2T27	0.967344333333333
chr10	11720	15576	LOC102723376	1.12584
chr10	46398361	46453306	LINC00842	2.89066833333333
chr10	46415914	46416456	HNRNPA1P33	2.824038
chr10	46416633	46426227	LOC107987152	3.2268005
chr10	46541735	46557596	GPRIN2	3.3031490625
chr10	46717520	46719557	LOC101927584	3.371177
chr10	47580670	47583419	CTSLP2	1.275936
chr10	47587184	47619501	LINC02675	1.0910562
chr10	47913998	47926069	NPY4R2	1.238191
chr10	48010131	48031640	AGAP12P	1.247976
chr10	68755171	68755238	SNORD98	2.701632
chr11	127133	139117	LINC01001	1.0094305
chr11	141366	159657	LOC112268070	1.196521
chr11	1947271	2013176	MRPL23	1.1976365
chr11	1949330	1949476	SNORD131	0.893814
chr11	4954771	4955713	OR51A2	1.1707905
chr11	7795973	7796942	OR5P2	0.990116
chr11	11351941	11353250	CSNK2A3	1.255098
chr11	18933498	18939414	MRGPRX1	2.82118516666667
chr11	55262154	55271114	TRIM48	1.25708183333333
chr11	61203514	61213098	PGA3	3.010528
chr11	61222346	61231694	PGA4	3.840911
chr11	90085949	90087131	UBTFL1	1.172612
chr12	9448286	9576270	LOC408186	1.28216469565217
chr12	10430598	10436010	KLRC2	1.191711
chr12	11091286	11092313	TAS2R43	1.1511255
chr12	11351820	11355591	PRB1	2.7926005
chr12	131298927	131300691	LOC105370083	0.32963
chr13	57140917	57143939	PRR20A	2.918406
chr13	57147487	57150509	PRR20B	2.918406
chr13	57154060	57157082	PRR20C	2.918406
chr13	57160631	57163653	PRR20D	2.918406
chr13	57167196	57170218	PRR20E	2.918406
chr13	63828839	63844125	LOC102723968	1.2890116
chr13	63832360	63833053	LOC647264	1.298815
chr13	111669646	111672566	LOC102724489	1.196177
chr13	111754560	111757459	LOC102724510	0.747147
chr14	18976747	18980793	LOC100508046	2.855858
chr14	19062376	19107497	DUXAP9	3.321464
chr14	19083133	19093337	BMS1P18	3.238058
chr14	19268802	19384288	LINC01297-DUXAP10-NBEAP6	3.342945125
chr14	19294784	19337674	DUXAP10	2.80887233333333
chr14	19306689	19316914	BMS1P17	2.8485785
chr14	19344328	19384288	LINC01297	3.8109125
chr14	19348215	19357099	LOC105378174	3.626845
chr14	19712935	19713883	OR11H2	3.535275
chr14	19744739	19752334	OR4Q3	3.4518955
chr14	19773503	19783696	OR4M1	3.61117942857143
chr14	19803769	19830253	OR4N2	3.34541738461538
chr14	19868196	19869173	OR4K3	3.592637
chr14	19875141	19883932	OR4K2	3.6072934
chr14	19920262	19936736	OR4K1	3.5641721875
chr14	19920606	19921578	OR4K5	3.64878
chr14	77265482	77271206	NGB	2.86018114285714
chr14	105621115	105621180	MIR8071-1	0.817767
chr14	105640167	105640232	MIR8071-2	1.149445
chr14	105857512	105857572	MIR4539	1.167478
chr14	105858123	105858175	MIR4507	1.051125
chr14	105858164	105858242	MIR4538	1.051125
chr14	105859483	105859553	MIR4537	1.051125
chr15	20282743	20291558	CHEK2P2	5.1123765
chr15	20408395	20506180	HERC2P3	4.1573467
chr15	20515733	20520713	LOC100996379	1.294536
chr15	20669467	20756151	NBEAP1	3.45841642857143
chr15	20832794	20832869	MIR3118-2	0.308256
chr15	20835371	20866314	POTEB2	0.308256
chr15	21263157	21270762	LOC105370715	5.544962
chr15	21266803	21274025	LOC105370714	5.3607716
chr15	21289603	21297829	LOC646214	2.95254
chr15	21371492	21373968	CXADRP2	1.182437
chr15	21406384	21406459	MIR3118-3	0.994133
chr15	21832294	21842313	LOC105379207	1.1707
chr15	21843749	21843824	MIR3118-4	1.1707
chr15	21846328	21877735	POTEB	0.673661
chr15	21927656	21940278	NF1P2	0.685157
chr15	21951241	21951323	MIR5701-3	0.646903
chr15	21990079	22095613	LOC101927079	0.6038024
chr15	22080526	22081610	OR4M2	0.195006
chr15	22094521	22095862	OR4N4	0.892302
chr15	22125510	22126447	OR4N3P	1.189012
chr15	22145477	22149260	LOC107984743	1.189012
chr15	22160288	22160930	IGHV1OR15-1	1.189012
chr15	22162328	22169784	LOC107984785	1.189012
chr15	22177854	22178596	LOC642131	1.189012
chr15	22183502	22185526	LOC107983983	1.189012
chr15	22212388	22255782	LOC101928039	2.83024252380952
chr15	22258613	22282880	REREP3	3.0848
chr15	22290063	22294417	LOC105370721	3.17373566666667
chr15	23127065	23136822	GOLGA6L1	0.89814
chr15	23157339	23170783	GOLGA8DP	0.89814
chr15	28519614	28533014	GOLGA8G	0.660155
chr15	28553567	28563779	LOC100132202	0.737801
chr15	28573779	28589240	HERC2P11	0.5631415
chr15	28654441	28685264	HERC2P9	1.04351666666667
chr15	28702018	28705476	LOC107984746	1.143316
chr15	30568597	30571721	DNM1P50	1.173788
chr15	32444187	32461753	GOLGA8O	1.211067
chr15	32469194	32473444	LOC105376710	1.211067
chr15	32484092	32485241	LOC101060588	1.171598
chr15	32489199	32494945	LOC100653133	1.171598
chr15	32593455	32607310	GOLGA8N	1.2034865
chr15	34379067	34437808	GOLGA8A	1.09738754545455
chr15	74069856	74082550	GOLGA6A	3.608531
chr15	74088445	74091552	LOC107987224	3.608531
chr15	74097112	74100206	COMMD4P2	3.089709
chr15	75258333	75273455	GOLGA6C	3.4272525
chr15	75282834	75295530	GOLGA6D	3.2892085
chr15	82471476	82513999	GOLGA2P10	3.3223284
chr15	82519589	82526484	GOLGA6L17P	2.7408755
chr15	84166546	84170984	DNM1P41	0.928071
chr15	84172434	84182219	UBE2Q2L	0.928071
chr15	84191847	84209294	LOC440300	0.928071
chr15	84198847	84230168	GOLGA2P7	0.928071
chr15	84215076	84220891	LOC105376724	0.928071
chr15	84235772	84245358	GOLGA6L4	0.750125
chr15	84329638	84335458	LOC105370936	0.572179
chr15	84350123	84359437	LOC102724093	0.572179
chr15	84422518	84425882	LOC103171574	1.246375
chr15	84428358	84437807	LOC102724117	1.246375
chr15	84443445	84474245	LOC102724135	1.096352
chr15	84452693	84458490	LOC105370946	1.096352
chr15	84490720	84500953	LOC112267869	1.096352
chr15	84506167	84516847	GOLGA6L5P	1.096352
chr15	85203448	85234808	LOC727751	1.2996915
chr15	85205006	85234781	LOC101929479	1.2996915
chr15	85219704	85225519	LOC105370948	1.155578
chr15	101954884	101956355	FAM138E	5.040162
chr15	101960458	101960596	MIR1302-10	4.399977
chr15	101960812	101976605	WASH3P	3.217115
chr16	1240704	1242554	TPSAB1	1.260571
chr16	2638981	2646129	FLJ42627	1.073323
chr16	14896998	14913440	LOC101927469	3.081986
chr16	14901507	14901591	MIR3179-1	3.693846
chr16	14907716	14907781	MIR3670-1	3.693846
chr16	15010320	15010397	MIR1972-1	3.225126
chr16	16317608	16350608	PKD1P1	1.1722395
chr16	16329304	16329364	MIR6770-2	0.970641
chr16	16368875	16368942	MIR6511A3	0.970641
chr16	16376939	16393972	NPIPA7	0.76515
chr16	16380166	16398504	LOC105371098	0.76515
chr16	18238289	18256304	LOC105376751	0.884073
chr16	18313387	18331740	LOC105376753	3.096744
chr16	18317918	18352445	PKD1P4-NPIPA8	3.005136
chr16	18317918	18335860	NPIPA8	3.096744
chr16	18344012	18344079	MIR6511A4	2.913528
chr16	18379350	18379410	MIR6770-3	2.913528
chr16	22437007	22492220	SMG1P1	1.014538
chr16	22506782	22536535	NPIPB5	0.766424
chr16	22513904	22538879	LOC105371131	0.766424
chr16	28748970	28774040	LOC105379464	1.214762
chr16	29459912	29464966	SULT1A4	1.164138
chr16	29464966	29467578	LOC388242	1.164138
chr16	29469559	29505481	LOC101928556	1.164138
chr16	29483533	29505874	NPIPB12	1.164138
chr16	32318047	32349365	LOC105371191	1.064462
chr16	32600366	32626108	FAM153DP	0.97128
chr16	32627715	32635967	LOC107984013	0.8860535
chr16	32673518	32676129	TP53TG3	0.703352
chr16	32693665	32694570	LOC105371177	0.703352
chr16	33191769	33196858	TP53TG3C	3.051727
chr16	33301849	33306938	TP53TG3E	3.051727
chr16	33313919	33331168	LOC105369266	3.051727
chr16	33360876	33363487	TP53TG3B	3.051727
chr16	33385982	33387715	LOC105379473	3.051727
chr16	33457155	33462249	TP53TG3F	3.051727
chr16	33484764	33486497	LOC105379474	3.051727
chr16	55760598	55774926	CES1P1	0.8015006
chr16	55802850	55833127	CES1	2.72907023529412
chr16	74406288	74407219	LOC105376772	3.510449
chr17	68097	86410	LINC02887	0.576329
chr17	91529	133841	LOC101929823	0.61468
chr17	110295	111566	LOC101929828	0.149993
chr17	15142134	15153353	LOC107984976	0.9474673
chr17	16816366	16819162	LOC105371553	0.904134333333333
chr17	16822426	16829837	LOC105371552	0.921243
chr17	16830482	16832833	KRT16P2	0.932121
chr17	18439907	18442895	KRT16P1	2.919791
chr17	18442246	18448741	LOC105371569	2.919791
chr17	18476784	18494945	LGALS9C	3.04617066666667
chr17	18609561	18611671	LOC107985051	2.7068165
chr17	22523414	22524663	MTRNR2L1	11.8634925
chr17	29929902	30108452	EFCAB5	2.91602116296296
chr17	36165682	36176636	TBC1D3B	3.6387635
chr17	36194868	36196758	CCL3L3	4.44497633333333
chr17	36211062	36212873	CCL4L2	4.5773615
chr17	36225282	36237900	LOC105371747	3.564923
chr17	36253638	36264601	TBC1D3I	0.888542
chr17	36264648	36265447	LOC102724956	0.888542
chr17	36322241	36334759	TBC1D3G	1.104911
chr17	37978154	37989060	TBC1D3L	1.107416
chr17	38004032	38014908	TBC1D3D	1.107416
chr17	38029294	38041724	LOC102723819	1.107416
chr17	38057692	38068634	TBC1D3C	0.490109
chr17	38078261	38118364	LOC101929950	0.490109
chr17	38118407	38138868	TBC1D3E	0.490109
chr17	38153224	38165697	LOC102723933	0.3406065
chr17	38181658	38192555	TBC1D3	0.191104
chr17	38195739	38257249	NPEPPSP1	1.19826966666667
chr17	43233789	43233977	RNU2-1	4.033455
chr17	46295130	46337794	LRRC37A	1.171226
chr17	60019073	60020011	LOC105371848	2.787261
chr17	83218399	83227956	LOC100505909	0.8890625
chr17	83226896	83240804	RPL23AP87	0.231534
chr18	11559	15930	LINC02564	3.824938
chr18	42665	47016	LOC105371950	3.824938
chr18	112255	112339	MIR8078	1.123427
chr18	14711261	14728178	LOC105372006	1.21474266666667
chr18	14724762	14725929	LOC105372005	0.946734
chr19	60950	70966	WASH5P	0.259305
chr19	71532	72759	LOC105376912	0.259305
chr19	71972	72110	MIR1302-11	0.259305
chr19	76219	77690	FAM138F	0.259305
chr19	7037748	7040179	MBD3L4	0.72314
chr19	7049320	7051735	MBD3L2	0.72314
chr19	7056206	7058676	MBD3L3	0.720252
chr19	37265938	37269010	LOC284412	3.3290485
chr19	50092488	50092609	SNAR-A4	2.90389
chr19	50097825	50097946	SNAR-A14	2.90389
chr19	50100890	50101011	SNAR-A5	2.90389
chr19	50103954	50104075	SNAR-A6	2.90389
chr19	50107013	50107134	SNAR-A7	2.90389
chr19	50112367	50112488	SNAR-A8	2.90389
chr19	50117719	50117840	SNAR-A9	2.90389
chr19	50123073	50123194	SNAR-A10	2.90389
chr19	50128401	50128522	SNAR-A11	4.100731
chr19	50133744	50133864	SNAR-B1	4.100731
chr19	50139117	50139237	SNAR-B2	4.100731
chr19	50140201	50140320	SNAR-D	4.100731
chr19	51639477	51646852	SIGLEC14	0.01229
chr19	54230440	54234883	LOC107985279	1.0714992
chr2	89625444	89637907	LOC101927050	3.08615333333333
chr2	89845813	89850429	LOC105374862	3.4350202
chr2	91571529	91580863	LOC101926969	3.999727
chr2	94192530	94208419	BMS1P23	3.22788875
chr2	94208805	94258709	LOC107985915	3.43463177777778
chr2	96048801	96057733	LOC105373494	2.705259
chr2	97607094	97612902	LOC105373499	1.1092105
chr2	109760593	109857691	RGPD5	1.10011266666667
chr2	109860129	109877032	LOC102724848	0.651367
chr2	109898431	109968574	LIMS3-LOC440895	1.015728
chr2	109898687	109925625	LIMS3	0.651367
chr2	109918859	109922848	LOC105373547	0.651367
chr2	109947689	109968574	LOC440895	1.015728
chr2	110375108	110384536	LINC01106	2.912871
chr2	113499083	113501150	FOXD4L1	1.1074
chr2	113577381	113578852	FAM138B	3.2336665
chr2	113582958	113583096	MIR1302-3	3.841051
chr2	113583652	113599037	WASH2P	3.0525895
chr2	130191744	130198439	TUBA3E	1.28067666666667
chr2	130459454	130509707	POTEI	0.9269908
chr2	130521221	130528603	CFC1B	0.404944
chr2	130536569	130549915	PRSS40B	0.571262
chr2	130570845	130584161	PRSS40A	3.511569
chr2	130592164	130599575	CFC1	3.493768
chr2	130611077	130658448	POTEJ	2.7226945
chr20	1561384	1620009	SIRPB1	0.892951279069767
chr20	29080389	29096832	FRG1DP	2.98995928571429
chr21	5011975	5013040	LOC105379484	1.063758
chr21	5022043	5046678	LOC102723996	1.063758
chr21	5101730	5103182	LOC101928576	1.166202
chr21	5116340	5128369	GATD3B	1.1910335
chr21	5156150	5231500	LOC102724200	4.14497214285714
chr21	5499153	5502560	LINC01670	1.175961
chr21	5506971	5509733	LOC105379488	1.175961
chr21	5542505	5546928	LOC105379489	1.175961
chr21	5553636	5592004	LOC102724219	1.175961
chr21	5602931	5616612	LOC107987309	1.175961
chr21	5972921	5973355	LOC102724334	1.175961
chr21	6001467	6009381	LOC105379490	1.175961
chr21	6059028	6076305	LINC01669	0.774101
chr21	6070757	6073132	LOC102724370	0.774101
chr21	6084363	6088242	CH507-42P11.6	0.774101
chr21	6228965	6670705	LOC102724701	1.056358
chr21	6274044	6278467	LOC105379491	4.493804
chr21	6353996	6357013	CH507-145C22.1	4.493804
chr21	6444868	6468621	CBSL	0.231333
chr21	6484622	6499969	U2AF1L5	0.578561
chr21	6499202	6564489	CRYAA2	0.488340333333333
chr21	6532206	6532776	LOC106780825	0.205927
chr21	6710658	6715081	LOC105379497	0.680533
chr21	6858449	6901489	LOC110091777	0.375887
chr21	6859170	6859256	MIR8069-1	0.199312
chr21	6984226	6997585	LOC105379499	0.828937
chr21	7037727	7042150	LOC105379501	0.828937
chr21	7048858	7087230	LOC102724843	0.828937
chr21	7854002	7857007	LOC105379505	2.96653
chr21	8205314	8205406	MIR6724-1	7.805137
chr21	8205987	8219302	RNA45SN2	7.805137
chr21	8208472	8208652	MIR3648-1	7.805137
chr21	8209630	8211499	RNA18SN2	7.805137
chr21	8212570	8212727	RNA5-8SN2	7.805137
chr21	8213887	8218941	RNA28SN2	7.805137
chr21	8222167	8223494	LOC105379506	10.677201
chr21	8223513	8227990	LOC107987293	13.549265
chr21	8240738	8243081	CDC27P9	13.549265
chr21	8249504	8249596	MIR6724-2	13.549265
chr21	8388361	8388453	MIR6724-3	0.091517
chr21	8389034	8402343	RNA45SN3	0.091517
chr21	8392665	8394534	RNA18SN3	0.091517
chr21	8395605	8395762	RNA5-8SN3	0.091517
chr21	8396925	8401980	RNA28SN3	0.091517
chr21	8405246	8406493	LOC105379508	0.091517
chr21	8423809	8426105	CDC27P10	0.091517
chr21	8432529	8432621	MIR6724-4	1.123041
chr21	8433221	8446572	RNA45SN1	1.123041
chr21	8436323	8436374	MIR10396B	1.123041
chr21	8436875	8438744	RNA18SN1	1.123041
chr21	8439821	8439978	RNA5-8SN1	1.123041
chr21	8441145	8446211	RNA28SN1	1.123041
chr21	8449373	8450680	LOC105379507	1.123041
chr21	8450699	8454960	LOC107987294	1.123041
chr21	8466839	8470663	CDC27P11	1.123041
chr21	8986998	8987178	MIR3648-2	1.043323
chr21	8987616	8987665	MIR10396A	1.043323
chr21	9045566	9064980	LOC101927615	1.232362
chr21	9068355	9129761	TEKT4P2	0.456108375
chr21	9972473	9986333	LOC105372734	3.8943135
chr21	9996066	10119495	LOC105372733	2.88031546153846
chr21	10413496	10518274	BAGE2	5.13871596969697
chr21	10521582	10605716	TPTE	3.50015675757576
chr21	13609776	13645823	POTED	0.339055333333333
chr21	13644774	13644850	MIR3118-1	0.855765
chr21	13705880	13713853	LOC107985482	0.995857
chr21	13723556	13753242	LOC112268283	0.995857
chr21	13724188	13724274	MIR8069-2	0.995857
chr21	34375506	34389151	SMIM11A	1.2549405
chr21	34400111	34401072	FAM243A	0.667414
chr21	34406130	34425353	LOC105372793	0.667414
chr21	34418714	34423951	SMIM34A	0.667414
chr21	43409293	43412622	LOC107987301	0.432761
chr21	43414482	43427131	SIK1	0.432761
chr21	43434852	43442401	LOC107987302	0.565754
chr21	43446600	43453902	LINC00319	0.698747
chr21	43462093	43478223	LINC00313	1.1396075
chr21	43465132	43467509	LOC102723380	0.698747
chr21	44107398	44131181	PWP2	0.866353
chr21	44133664	44145711	GATD3A	0.7175765
chr21	44158772	44159862	LINC01678	0.837342
chr21	44172146	44193134	LOC105377139	0.3693815
chr21	44201791	44208199	LOC107983952	0.808273
chr21	44207660	44210115	LOC102725065	0.808273
chr22	10742023	10753062	LOC105379418	4.92770075
chr22	10940596	10961529	FRG1FP	3.2871715
chr22	12097954	12115357	LOC107987323	0.0461735
chr22	12130746	12167072	LOC105379516	0.196577333333333
chr22	12809947	12815764	LOC105379428	0.979396
chr22	18209154	18211924	LOC105372858	0.933353
chr22	18233148	18235228	LOC105379518	0.933353
chr22	18412707	18415486	LOC107987325	0.837417
chr22	18421383	18500594	FAM230A	0.46976
chr22	18516334	18518165	GGTLC3	0.274256
chr22	18527801	18531920	TMEM191B	0.411317
chr22	18533863	18548828	PI4KAP1	0.3967025
chr22	18605814	18611919	RIMBP3	0.707675
chr22	18634540	18635687	LOC105372871	0.269697
chr22	18733934	18757905	FAM230E	0.430625
chr22	18758534	18769783	FAM247C	0.20724
chr22	18773688	18791961	GGT3P	0.631483
chr22	18846285	18861064	LOC102725072	0.763176
chr22	18865041	18894431	FAM230F	0.728701666666667
chr22	18906319	18912088	DGCR6	0.6058665
chr22	21192789	21204020	FAM247A	1.275605
chr22	21207971	21283023	GGT2	1.1364015
chr22	21282424	21297730	POM121L8P	0.6322485
chr22	21300990	21326636	FAM230H	0.51234
chr22	21354612	21358067	LINC01651	0.953289
chr22	21359595	21360697	LOC105377190	0.953289
chr22	21467386	21469935	TMEM191C	1.12905
chr22	21472997	21517491	PI4KAP2	1.10406333333333
chr22	24005550	24008867	LOC105372959	2.7024202
chr22	25279035	25283094	LOC105372969	0.896951666666667
chr22	25318256	25320227	IGLL3P	1.0752715
chr22	25351417	25405410	LRP5L	0.996980386363636
chr22	25448086	25461678	CRYBB2P1	1.09968322222222
chr22	25455645	25455711	MIR6817	1.064627
chr22	38963269	38969367	LOC105373033	1.07412983333333
chr22	38970427	38971703	LOC107985562	0.983091
chr22	38982346	38992779	APOBEC3B	1.14053728571429
chr22	42126498	42130810	CYP2D6	2.97265333333333
chr22	42130070	42132085	LOC112268294	3.08107
chr22	42135677	42137501	LOC102723722	3.261796
chr22	42500578	42512560	SERHL	3.0655572
chr22	42508343	42519796	RRP7A	3.713062
chr3	195658038	195688871	SDHAP2	2.89374685714286
chr3	195688497	195711875	MIR570HG	3.8280529375
chr3	195699400	195699497	MIR570	4.450503
chr3	195720977	195733551	MUC20	2.92165042857143
chr3	198153205	198222513	FAM157A	3.19335733333333
chr4	9173116	9176730	FAM90A26	0.028601
chr4	9210656	9212249	USP17L10	0.118484
chr4	9215404	9216997	USP17L11	1.294331
chr4	9220151	9221744	USP17L12	1.294331
chr4	9224895	9226488	USP17L13	1.294331
chr4	9234384	9236046	USP17L15	1.294331
chr4	9243878	9245471	USP17L17	1.294331
chr4	9248629	9250222	USP17L18	1.294331
chr4	9253377	9254970	USP17L19	1.294331
chr4	9258123	9259716	USP17L20	1.294331
chr4	9262871	9264464	USP17L21	1.294331
chr4	9267618	9269211	USP17L22	1.294331
chr4	9325164	9326757	USP17L24	1.294331
chr4	9329910	9331503	USP17L25	1.294331
chr4	9334657	9336250	USP17L26	1.294331
chr4	9339402	9340995	USP17L5	1.294331
chr4	9344147	9345740	USP17L27	1.294331
chr4	9348892	9350485	USP17L28	1.294331
chr4	9353637	9355230	USP17L29	1.294331
chr4	9358381	9359974	USP17L9P	1.294331
chr4	9363128	9364721	USP17L30	1.294331
chr4	9367873	9369070	USP17L6P	1.294331
chr4	68537172	68576322	UGT2B17	0.0332033333333333
chr4	190107223	190112749	LOC107986338	6.96830975
chr5	321713	438285	AHRR	2.89730415151515
chr5	441834	443160	EXOC3-AS1	2.9935715
chr5	443175	467290	EXOC3	2.94107691304348
chr5	710354	784729	ZDHHC11B	3.71841564516129
chr5	784847	786304	LOC101928768	3.621931
chr5	795604	863634	ZDHHC11	2.87421590909091
chr5	28926869	28927313	LSP1P3	1.286342
chr5	34189580	34194204	LOC646652	6.70386
chr5	69639462	69710527	GUSBP3	0.260222
chr5	69758299	69764925	LOC107986357	0.260222
chr5	69809034	69844620	LOC105379623	0.11001
chr5	70025250	70043113	SERF1B	3.080279
chr5	70042417	70043113	LOC107986372	3.080279
chr5	70138861	70290177	GUSBP14	1.22220366666667
chr5	70290373	70695470	LOC107986356	0.979993166666667
chr5	70382212	70401373	LOC105379021	0.665754
chr5	70415369	70450362	GTF2H2B	0.882253
chr5	70481042	70585722	GUSBP15	0.4603025
chr5	70486500	70491787	LOC441081	0.322243
chr5	70585909	70598774	LOC105379020	0.598362
chr5	70610215	70719733	LOC107986355	1.1794135
chr5	70900668	70918530	SERF1A	1.086314
chr5	70917834	70918530	LOC107986373	1.168789
chr5	70924940	70953012	SMN1	1.168789
chr5	71035342	71109113	GTF2H2	1.22719625
chr5	71074202	71093070	OCLNP1	1.1522715
chr5	71088631	71088735	SNORD13B-2	0.790141
chr5	169263600	169263694	MIR585	1.278648
chr5	177801078	177809507	LOC105377752	0.937806
chr5	177809530	177812477	LOC107986491	0.716927
chr6	109025	111100	LOC107986552	0.77928
chr6	259964	288486	LOC102723922	3.65103172
chr6	278995	285313	LOC107986553	3.48129542857143
chr6	292486	351355	DUSP22	3.54397453571429
chr6	26781145	26803584	LOC105374992	1.118426
chr6	29942531	29945870	HLA-A	1.11452966666667
chr6	31268748	31272092	HLA-C	0.8197915
chr6	31353874	31357179	HLA-B	1.1493005
chr6	31355223	31355316	MIR6891	1.271826
chr6	32517342	32530316	HLA-DRB5	0.264541636363636
chr6	32552712	32560002	HLA-DRB6	0.347975285714286
chr6	32578774	32589848	HLA-DRB1	0.4329345
chr6	32637187	32642673	LOC107986589	0.298706666666667
chr6	32637405	32654846	HLA-DQA1	0.207363714285714
chr6	32659466	32666657	HLA-DQB1	0.248529
chr6	32659879	32660729	HLA-DQB1-AS1	0.285598
chr6	131708440	131711017	CTAGE9	2.866393
chr6	140683813	140683883	MIR4465	1.269115
chr6	165309672	165316728	LOC105378113	1.06023528571429
chr6	170612665	170728496	LOC101929692	1.0091278
chr7	13604	16154	LOC102723872	0.892192
chr7	6799239	6801029	LOC107986696	1.178745
chr7	56809123	56812736	LOC401357	1.11331533333333
chr7	57866001	57868134	LOC102723842	1.2400195
chr7	63394215	63395439	LOC101929022	0.885645
chr7	63396339	63399041	LOC100287834	0.885645
chr7	63621089	63621169	MIR4283-2	0.776997
chr7	63699205	63707101	LOC105375313	1.2001615
chr7	63769108	63771577	CICP24	1.256493
chr7	70643523	70648612	LOC107986708	1.1194895
chr7	72574512	72828200	TYW1B	3.00526933333333
chr7	72697902	72697978	MIR4650-2	3.048686
chr7	72829372	72837399	SBDSP1	3.00964125
chr7	72968097	73005932	TRIM74	2.8493995
chr7	72997294	73005943	STAG3L3	2.8493995
chr7	73006079	73016375	PMS2P7	3.077521
chr7	73019718	73029766	SPDYE8	3.077521
chr7	73047861	73057911	SPDYE11	3.077521
chr7	73075971	73086038	SPDYE9	3.077521
chr7	73104007	73155431	SPDYE10P	2.8966175
chr7	73154923	73207296	GTF2IP4	2.9360885
chr7	75185382	75237705	GTF2IP1	0.42452
chr7	75217187	75233098	LOC107986710	0.42452
chr7	75237204	75317416	SPDYE14	0.3023055
chr7	75280789	75289501	SPDYE13	0.465545
chr7	75335342	75345396	SPDYE15	0.465545
